peripheral,register,field_name,key,just_svd,just_output,both
rcc,cir,lsirdyie,enum_names,0,2,0
rcc,cir,hserdyie,enum_names,0,2,0
rcc,cir,pllrdyie,enum_names,0,2,0
rcc,cir,cssf,enum_names,0,2,0
rcc,cir,hserdyf,bit_offset,3,5
rcc,cir,hserdyf,enum_names,0,2,0
rcc,cir,lsirdyf,bit_offset,0,2
rcc,cir,lsirdyf,enum_names,0,2,0
rcc,cir,cssc,enum_names,0,2,0
rcc,cir,pllrdyc,enum_names,0,2,0
rcc,cir,hserdyc,enum_names,0,2,0
rcc,cir,hsirdyc,enum_names,0,2,0
rcc,cir,hsirdyf,bit_offset,2,4
rcc,cir,hsirdyf,enum_names,0,2,0
rcc,cir,lserdyf,bit_offset,1,3
rcc,cir,lserdyf,enum_names,0,2,0
rcc,cir,pllrdyf,bit_offset,4,6
rcc,cir,pllrdyf,enum_names,0,2,0
rcc,cir,hsirdyie,enum_names,0,2,0
rcc,cir,lserdyie,enum_names,0,2,0
rcc,apb2rstr,afiorst,enum_names,0,2,0
rcc,apb2rstr,iopcrst,enum_names,0,2,0
rcc,apb2rstr,iopfrst,enum_names,0,2,0
rcc,apb2rstr,tim1rst,enum_names,0,2,0
rcc,apb2rstr,iopgrst,enum_names,0,2,0
rcc,apb2rstr,tim17rst,enum_names,0,2,0
rcc,apb2rstr,iopbrst,enum_names,0,2,0
rcc,apb2rstr,spi1rst,enum_names,0,2,0
rcc,apb2rstr,tim15rst,enum_names,0,2,0
rcc,apb2rstr,ioparst,enum_names,0,2,0
rcc,apb2rstr,ioperst,enum_names,0,2,0
rcc,apb2rstr,iopdrst,enum_names,0,2,0
rcc,apb2rstr,usart1rst,enum_names,0,2,0
rcc,apb2rstr,tim16rst,enum_names,0,2,0
rcc,apb2enr,iopfen,enum_names,0,2,0
rcc,apb2enr,tim15en,enum_names,0,2,0
rcc,apb2enr,tim17en,enum_names,0,2,0
rcc,apb2enr,tim1en,enum_names,0,2,0
rcc,apb2enr,iopaen,enum_names,0,2,0
rcc,apb2enr,iopcen,enum_names,0,2,0
rcc,apb2enr,tim16en,enum_names,0,2,0
rcc,apb2enr,adc1en,enum_names,0,2,0
rcc,apb2enr,afioen,enum_names,0,2,0
rcc,apb2enr,iopden,enum_names,0,2,0
rcc,apb2enr,iopgen,enum_names,0,2,0
rcc,apb2enr,iopeen,enum_names,0,2,0
rcc,apb2enr,iopben,enum_names,0,2,0
rcc,apb2enr,spi1en,enum_names,0,2,0
rcc,apb2enr,usart1en,enum_names,0,2,0
rcc,csr,iwdgrstf,enum_names,0,2,0
rcc,csr,lpwrrstf,enum_names,0,2,0
rcc,csr,rmvf,enum_names,0,2,0
rcc,csr,lsirdy,enum_names,0,2,0
rcc,csr,lsion,enum_names,0,2,0
rcc,csr,wwdgrstf,enum_names,0,2,0
rcc,csr,sftrstf,enum_names,0,2,0
rcc,ahbenr,dma1en,enum_names,0,2,0
rcc,ahbenr,sramen,enum_names,0,2,0
rcc,ahbenr,flitfen,enum_names,0,2,0
rcc,ahbenr,crcen,enum_names,0,2,0
rcc,ahbenr,fsmcen,enum_names,0,2,0
rcc,ahbenr,dma2en,enum_names,0,2,0
rcc,apb1rstr,usart3rst,enum_names,0,2,0
rcc,apb1rstr,tim5rst,enum_names,0,2,0
rcc,apb1rstr,dacrst,enum_names,0,2,0
rcc,apb1rstr,tim14rst,enum_names,0,2,0
rcc,apb1rstr,tim4rst,enum_names,0,2,0
rcc,apb1rstr,tim7rst,enum_names,0,2,0
rcc,apb1rstr,usart2rst,enum_names,0,2,0
rcc,apb1rstr,tim13rst,enum_names,0,2,0
rcc,apb1rstr,tim12rst,enum_names,0,2,0
rcc,apb1rstr,spi2rst,enum_names,0,2,0
rcc,apb1rstr,spi3rst,enum_names,0,2,0
rcc,apb1rstr,tim2rst,enum_names,0,2,0
rcc,apb1rstr,cecrst,bit_offset,30,27
rcc,apb1rstr,cecrst,enum_names,0,2,0
rcc,apb1rstr,bkprst,enum_names,0,2,0
rcc,apb1rstr,tim3rst,enum_names,0,2,0
rcc,apb1rstr,tim6rst,enum_names,0,2,0
rcc,apb1rstr,i2c2rst,enum_names,0,2,0
rcc,apb1rstr,wwdgrst,enum_names,0,2,0
rcc,apb1rstr,pwrrst,enum_names,0,2,0
rcc,apb1rstr,i2c1rst,enum_names,0,2,0
rcc,cfgr,pllxtpre,enum_names,0,2,0
rcc,cfgr,pllmul,enum_names,0,16,0
rcc,cfgr,mco,enum_names,0,5,0
rcc,cfgr,sws,enum_names,0,3,0
rcc,cfgr,hpre,enum_names,0,9,0
rcc,cfgr,ppre2,enum_names,0,5,0
rcc,cfgr,pllsrc,enum_names,0,2,0
rcc,cfgr,sw,enum_names,0,3,0
rcc,cfgr,adcpre,enum_names,0,4,0
rcc,cfgr,ppre1,enum_names,0,5,0
rcc,cfgr2,prediv1,enum_names,0,16,0
rcc,bdcr,rtcsel,enum_names,0,4,0
rcc,bdcr,lseon,enum_names,0,2,0
rcc,bdcr,lsebyp,enum_names,0,2,0
rcc,bdcr,lserdy,enum_names,0,2,0
rcc,bdcr,bdrst,enum_names,0,2,0
rcc,bdcr,rtcen,enum_names,0,2,0
rcc,cr,hseon,enum_names,0,2,0
rcc,cr,hsebyp,enum_names,0,2,0
rcc,cr,csson,enum_names,0,2,0
rcc,cr,hserdy,enum_names,0,2,0
rcc,cr,hsion,enum_names,0,2,0
rcc,cr,hsirdy,enum_names,0,2,0
afio,exticr3,exti11,enum_names,0,7,0
afio,exticr3,exti8,enum_names,0,7,0
afio,exticr3,exti9,enum_names,0,7,0
afio,exticr3,exti10,enum_names,0,7,0
afio,evcr,evoe,enum_names,0,2,0
afio,evcr,pin,enum_names,0,16,0
afio,mapr2,tim14_remap,bit_offset,9,4
afio,mapr2,tim14_remap,enum_names,0,2,0
afio,mapr2,fsmc_nadv,bit_offset,10,5
afio,mapr2,fsmc_nadv,enum_names,0,2,0
afio,mapr2,tim13_remap,bit_offset,8,3
afio,mapr2,tim13_remap,enum_names,0,2,0
afio,mapr2,tim12_remap,bit_offset,12,7
afio,mapr2,tim12_remap,enum_names,0,2,0
afio,mapr2,tim1_dma_remap,bit_offset,4,0
afio,mapr2,tim1_dma_remap,enum_names,0,2,0
afio,mapr2,tim67_dac_dma_remap,bit_offset,11,6
afio,mapr2,tim67_dac_dma_remap,enum_names,0,2,0
afio,mapr2,misc_remap,bit_offset,13,8
afio,exticr4,exti12,enum_names,0,7,0
afio,exticr4,exti14,enum_names,0,7,0
afio,exticr4,exti15,enum_names,0,7,0
afio,exticr4,exti13,enum_names,0,7,0
afio,exticr1,exti0,enum_names,0,7,0
afio,exticr1,exti3,enum_names,0,7,0
afio,exticr1,exti2,enum_names,0,7,0
afio,exticr1,exti1,enum_names,0,7,0
afio,exticr2,exti5,enum_names,0,7,0
afio,exticr2,exti6,enum_names,0,7,0
afio,exticr2,exti7,enum_names,0,7,0
afio,exticr2,exti4,enum_names,0,7,0
afio,mapr,usart3_remap,enum_names,0,3,0
